"","Study_Number","group","grp1_base_n","grp1_base_mean","grp1_base_sd","grp1_base_se","n","weighted.mean","overall_mean","q","qc","overall_sd"
"115",275,"Healthy_Total Mg",25,0.83,0.07,0.01,1411,0.0147163120567376,0.854234042553191,17.3401,926.5355,30.4270482740539
"116",276,"Healthy_iMg",25,0.55,0.04,0.01,5522,0.00249049085310632,0.53871037855461,7.6009,1431.9292,37.8370048836254
"117",276,"Healthy_iMg",25,0.56,0.04,0.01,5522,0.00253577250498098,0.53871037855461,7.8784,1431.9292,37.8370048836254
"118",276,"Healthy_Total Mg",25,0.8,0.07,0.01,1411,0.0141843971631206,0.854234042553191,16.1176,926.5355,30.4270482740539
"119",276,"Healthy_Total Mg",25,0.83,0.08,0.02,1411,0.0147163120567376,0.854234042553191,17.3761,926.5355,30.4270482740539
"120",284,"Healthy_iMg",50,0.51,0.04,0.01,5522,0.00461872849121536,0.53871037855461,13.0834,1431.9292,37.8370048836254
"121",284,"Healthy_iMg",25,0.51,0.04,0.01,5522,0.00230936424560768,0.53871037855461,6.5409,1431.9292,37.8370048836254
"122",284,"Healthy_iMg",25,0.51,0.04,0.01,5522,0.00230936424560768,0.53871037855461,6.5409,1431.9292,37.8370048836254
"123",284,"Healthy_Total Mg",50,0.8,0.05,0.01,1411,0.0283687943262411,0.854234042553191,32.1225,926.5355,30.4270482740539
"124",284,"Healthy_Total Mg",25,0.8,0.05,0.01,1411,0.0141843971631206,0.854234042553191,16.06,926.5355,30.4270482740539
"125",284,"Healthy_Total Mg",25,0.8,0.05,0.01,1411,0.0141843971631206,0.854234042553191,16.06,926.5355,30.4270482740539
"126",289,"Healthy_iMg",47,0.54,0.01,0,5522,0.00459699329831552,0.53871037855461,13.7098,1431.9292,37.8370048836254
"127",293,"Healthy_iMg",18,0.48,0.05,0.01,5522,0.00156493388878826,0.53871037855461,4.1897,1431.9292,37.8370048836254
"128",293,"Healthy_iMg",19,0.5,0.02,0.01,5522,0.00172070277123709,0.53871037855461,4.7572,1431.9292,37.8370048836254
"129",298,"CVD_iMg",10,0.48,0.04,0.01,956,0.0050261780104712,0.504251308900524,2.3184,248.0064,15.7401354621493
"130",298,"CVD_iMg",10,0.49,0.04,0.01,956,0.00513089005235602,0.504251308900524,2.4154,248.0064,15.7401354621493
"131",300,"Healthy_iMg",37,0.52,0.03,0,5522,0.00348487592827386,0.53871037855461,10.0372,1431.9292,37.8370048836254
"132",302,"Healthy_iMg",18,0.53,0.02,0.01,5522,0.00172794783553704,0.53871037855461,5.063,1431.9292,37.8370048836254
"133",305,"Healthy_iMg",12,0.52,0.01,0,5522,0.00113023003079152,0.53871037855461,3.2459,1431.9292,37.8370048836254
"134",307,"Diabetes_iMg",72,0.47,0.0848528137423857,0.01,892,0.037979797979798,0.498451178451178,16.416,238.321,15.4295906483189
"135",308,"Healthy_iMg",23,0.49,0.0479583152331272,0.01,5522,0.00204129686650969,0.53871037855461,5.5729,1431.9292,37.8370048836254
"136",308,"Healthy_iMg",23,0.47,0.0479583152331272,0.01,5522,0.00195797862706032,0.53871037855461,5.1313,1431.9292,37.8370048836254
"137",310,"Healthy_iMg",20,0.58,0.02,0.01,5522,0.00210106864698424,0.53871037855461,6.7356,1431.9292,37.8370048836254
"138",311,"Healthy_iMg",15,0.44,0.06,0.02,5522,0.00119543560949103,0.53871037855461,2.9544,1431.9292,37.8370048836254
"139",316,"Healthy_iMg",17,0.55,0.02,0.01,5522,0.0016935337801123,0.53871037855461,5.1489,1431.9292,37.8370048836254
"140",328,"Hypertension_iMg",46,0.86,0.05,0.01,462,0.0858134490238612,0.643340563991323,34.1341,198.8119,14.0853510824524
"141",328,"Hypertension_iMg",12,0.83,0.04,0.01,462,0.0216052060737527,0.643340563991323,8.2844,198.8119,14.0853510824524
"142",328,"Hypertension_iMg",74,0.81,0.04,0,462,0.13002169197397,0.643340563991323,48.6682,198.8119,14.0853510824524
"143",337,"Diabetes_iMg",22,0.55,0.0469041575982343,0.01,892,0.0135802469135802,0.498451178451178,6.7012,238.321,15.4295906483189
"144",337,"Diabetes_Total Mg",22,0.81,0.234520787991171,0.05,337,0.0530357142857143,0.84625,15.5892,245.6027,15.648783645103
"145",337,"Healthy_iMg",30,0.63,0.0547722557505166,0.01,5522,0.00342329288172433,0.53871037855461,11.994,1431.9292,37.8370048836254
"146",337,"Healthy_Total Mg",30,0.86,0.0547722557505166,0.01,1411,0.0182978723404255,0.854234042553191,22.275,926.5355,30.4270482740539
"147",338,"Healthy_iMg",61,0.6,0.0781024967590665,0.01,5522,0.00662923383445028,0.53871037855461,22.326,1431.9292,37.8370048836254
"148",338,"Hypertension_iMg",23,0.57,0.0479583152331272,0.01,462,0.0284381778741865,0.643340563991323,7.5233,198.8119,14.0853510824524
"149",349,"Healthy_iMg",22,0.56,0.06,0.01,5522,0.00223147980438326,0.53871037855461,6.9748,1431.9292,37.8370048836254
"150",349,"Healthy_iMg",27,0.55,0.04,0.01,5522,0.00268973012135483,0.53871037855461,8.2091,1431.9292,37.8370048836254
"151",349,"Healthy_Total Mg",24,0.86,0.06,0.01,1411,0.0146382978723404,0.854234042553191,17.8332,926.5355,30.4270482740539
"152",349,"Healthy_Total Mg",30,0.85,0.05,0.01,1411,0.0180851063829787,0.854234042553191,21.7475,926.5355,30.4270482740539
"153",357,"Healthy_iMg",10,0.56,0.04,0.01,5522,0.00101430900199239,0.53871037855461,3.1504,1431.9292,37.8370048836254
"154",359,"Renal disease_Total Mg",47,1,0.19,0.03,628,0.0749601275917065,0.947448165869219,48.6606,557.2699,23.5875138643626
"155",359,"Renal disease_iMg",47,0.68,0.11,0.02,781,0.040974358974359,0.577282051282051,22.2894,257.2032,16.0271494091689
"156",361,"Renal disease_iMg",27,0.53,0.05,0.01,781,0.0183461538461538,0.577282051282051,7.6493,257.2032,16.0271494091689
"157",361,"Renal disease_Total Mg",27,0.71,0.1,0.02,628,0.0305741626794258,0.947448165869219,13.8707,557.2699,23.5875138643626
